Restaurant_Latitude,Restaurant_Longitude,Restaurant_Zip_code,POI_Type,Count
48.88403,2.3391,75018,lodging,18
48.876133,2.348528,75010,lodging,18
48.87125,2.34171,75002,lodging,18
48.88599,2.33708,75018,lodging,18
48.88374,2.34316,75018,lodging,18
48.887586,2.339819,75018,lodging,18
48.8853172,2.334844,75018,lodging,18
48.87194,2.34317,75009,lodging,18
48.87994,2.34508,75009,lodging,18
48.8792768,2.3345899,75009,lodging,18
48.88102,2.3401,75009,lodging,18
48.88518,2.33664,75018,lodging,18
48.88443,2.34129,75018,lodging,18
48.855753,2.316982,75007,lodging,18
48.84978,2.3254,75006,lodging,18
48.85167,2.31835,75007,lodging,18
48.85421,2.33072,75006,lodging,18
48.8519,2.33428,75006,lodging,18
48.85862,2.32687,75007,lodging,18
48.85389,2.33336,75006,lodging,18
48.84732319,2.329837494,75006,lodging,18
48.845261,2.324004,75006,lodging,18
48.878045,2.285062,75017,lodging,18
48.87805,2.2883,75017,lodging,18
48.88133152,2.286110028,75017,lodging,18
48.87523,2.28647,75016,lodging,18
48.8787382,2.2845456,75017,lodging,18
48.8796077,2.289359599,75017,lodging,18
48.88059763,2.285422195,75017,lodging,18
48.876219,2.290163,75017,lodging,18
48.87785,2.28816,75017,lodging,18
48.881586,2.286145,75017,lodging,18
48.87801,2.28555,75017,lodging,18
48.87484,2.29283,75017,lodging,18
48.86645,2.32647,75001,lodging,18
48.86877639,2.325046062,75008,lodging,18
48.870597,2.3312,75002,lodging,18
48.86736,2.33298,75001,lodging,18
48.87074,2.3239899,75008,lodging,18
48.869145,2.335391,75002,lodging,18
48.876683,2.325271,75008,lodging,18
48.86884,2.33437,75002,lodging,18
48.87525,2.31618,75008,lodging,18
48.8663,2.3267,75001,lodging,18
48.86617,2.32709,75001,lodging,18
48.869916,2.329266,75002,lodging,18
48.8722162,2.3252668,75008,lodging,18
48.872433,2.324167,75008,lodging,18
48.8719444,2.3316667,75009,lodging,18
48.868947,2.334837,75002,lodging,18
48.87099,2.32619,75009,lodging,18
48.85387838,2.332108626,75006,lodging,18
48.85167,2.33634,75006,lodging,18
48.84448,2.348821,75005,lodging,18
48.8458648,2.3491279,75005,lodging,18
48.8378341,2.355019648,75013,lodging,18
48.84278,2.3496,75005,lodging,18
48.84055,2.35126,75005,lodging,18
48.85181,2.35655,75004,lodging,18
48.84499,2.34914,75005,lodging,18
48.851109,2.347656,75005,lodging,18
48.848938,2.349609,75005,lodging,18
48.843977,2.348041,75005,lodging,18
48.85109,2.35017,75005,lodging,18
48.85121,2.35085,75005,lodging,18
48.851702,2.356713,75004,lodging,18
48.84739,2.34711,75005,lodging,18
48.842182,2.322119,75015,lodging,18
48.84886,2.3192,75007,lodging,18
48.8430214,2.32092,75015,lodging,18
48.84822,2.33121,75006,lodging,18
48.84425133,2.322043087,75015,lodging,18
48.84256,2.322584,75014,lodging,18
48.9105,2.38544,93300,lodging,4
48.82100333,2.370037956,75013,lodging,5
48.82121,2.36816,75013,lodging,5
48.8109589,2.3838401,94200,lodging,5
48.81909,2.36547,75013,lodging,5
48.8313692,2.4756928,94130,lodging,1
48.83746,2.47731,94130,lodging,1
48.8358518,2.4726188,94130,lodging,1
48.834685,2.468384,75012,lodging,1
48.829955,2.475072,94340,lodging,1
48.832514,2.477089,94130,lodging,1
48.8357,2.47506,94130,lodging,1
48.83445,2.47264,94130,lodging,1
48.834369,2.4727934,94130,lodging,1
48.829703,2.4748582,94340,lodging,1
48.84374326,2.465923727,94120,lodging,1
48.83596855,2.475078465,94130,lodging,1
48.8788718,2.3541699,75010,lodging,18
48.878343,2.351023,75010,lodging,18
48.88083,2.35144,75010,lodging,18
48.87174,2.35236,75010,lodging,18
48.873248,2.3499957,75010,lodging,18
48.8732306,2.3468674,75009,lodging,18
48.8781474,2.3647457,75010,lodging,18
48.87626,2.34727,75009,lodging,18
48.8728,2.29698,75008,lodging,18
48.87276,2.294027,75116,lodging,18
48.8738256,2.295022211,75008,lodging,18
48.87439,2.28289,75016,lodging,18
48.870032,2.290631,75116,lodging,18
48.876607,2.283377,75116,lodging,18
48.877544,2.284548,75017,lodging,18
48.873587,2.297799,75008,lodging,18
48.87755085,2.294998427,75017,lodging,18
48.79493,2.36624,94800,lodging,2
48.79022,2.36668,94800,lodging,2
48.7927117,2.3869109,94400,lodging,2
48.7886505,2.36673,94800,lodging,2
48.79262,2.36824,94800,lodging,2
48.80202,2.37857,94400,lodging,2
48.80129,2.37965,94400,lodging,2
48.7918,2.36657,94800,lodging,2
48.7909393,2.3666999,94800,lodging,2
48.8476466,2.3479957,75005,lodging,18
48.8484358,2.3463842,75005,lodging,18
48.84507,2.34981,75005,lodging,18
48.84528,2.34918,75005,lodging,18
48.844071,2.3296119,75006,lodging,18
48.84786,2.32351,75006,lodging,18
48.8327,2.294,75019,lodging,18
48.83032,2.29575,75015,lodging,18
48.83311,2.30589,75015,lodging,18
48.83741,2.30094,75015,lodging,18
48.83866,2.3005399,75015,lodging,18
48.83846,2.2970799,75015,lodging,18
48.833008,2.300286,75015,lodging,18
48.83675969,2.299316544,75015,lodging,18
48.836006,2.291656,75015,lodging,18
