Restaurant_ID,Restaurant_Name,Review_Count,Restaurant_Rating,Distance_Bike_Station,Restaurant_Latitude,Restaurant_Longitude,Restaurant_Zip_code,Latitude,Longitude,Cuisine_Category_1,Cuisine_Category_2,Cuisine_Category_3,Cuisine_Category_4,Cuisine_Category_5,All_Cuisine_Category,Yelp_Price_Category,Avg_Gmaps_Location_Rating,Max_Gmaps_Location_Review_Count,lodging,airport,library,amusement_park,light_rail_station,aquarium,bus_station,casino,shopping_mall,stadium,subway_station,tourist_attraction,train_station,transit_station,art_gallery,atm,bakery,bank,bar,beauty_salon,bicycle_store,book_store,bowling_alley,cafe,campground,car_dealer,car_rental,car_repair,car_wash,cemetery,church,city_hall,clothing_store,convenience_store,courthouse,dentist,department_store,doctor,electrician,electronics_store,embassy,fire_station,florist,funeral_home,furniture_store,gas_station,gym,hair_care,hardware_store,hindu_temple,home_goods_store,hospital,insurance_agency,jewelry_store,laundry,lawyer,liquor_store,local_government_office,locksmith,meal_delivery,meal_takeaway,mosque,movie_rental,movie_theater,moving_company,museum,night_club,painter,park,parking,pet_store,pharmacy,physiotherapist,plumber,police,post_office,real_estate_agency,restaurant,roofing_contractor,rv_park,school,shoe_store,spa,storage,store,supermarket,synagogue,taxi_stand,travel_agency,veterinary_care,zoo,Total_POI,Total_Available_Bike_Slots,Total_POI_No_Lodges,Popular_Restaurant
yUEqSo1jVRlRTBMXNgdWpQ,Le Beauharnais,5,4.0,249.3110670798828,48.8760274,2.1808467,92500,48.878194,2.181724,Brasseries,,,,,Brasseries,1,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
HZ_rSZBMKfS9ywzW_VlI0A,Nomad,1,5.0,136.3130927320296,48.8793,2.18092,92500,48.878194,2.181724,Fast Food,,,,,Fast Food,1,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
D8pXcv7k5cZr-ML2TpCJiA,Jean-Claude Lambert,1,2.0,63.931190904834025,48.8778312,2.1824022,92500,48.878194,2.181724,Bakeries,,,,,Bakeries,4,4.127777777777778,932.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,22,20,18,0
AELoJ4wb-ZX1AVaKbmmJHw,Aux Artistes,58,4.0,17.59987097019347,48.84048,2.31291,75015,48.84040040365445,2.313117867297474,French,,,,,French,2,4.0,2166.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0,0
C_NAWNdp2IQ2EyE-OiLHUQ,Dip Tandoori,18,3.5,24.986101489608117,48.83939,2.3607,75013,48.83950442458303,2.360989417022932,Indian,,,,,Indian,1,4.0,889.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,3,0
OYarzhIgq3te9RakJbq3tg,Le Café des Arts,8,2.5,33.02153506519669,48.8403397,2.22842,92100,48.84045282099176,2.2280225157737736,French,,,,,French,2,4.0055555555555555,3854.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,5,1,0,0,0,0,0,43,53,38,0
q-0auNGnqTlPZrxXE6icLA,Itouya,15,3.5,455.0309977749994,48.8434003,2.2323358,92100,48.84045282099176,2.2280225157737736,Japanese,,,,,Japanese,2,4.0055555555555555,3854.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,5,1,0,0,0,0,0,43,53,38,0
g9WBbTyeKnCUZqjaiGNu6w,Le 5,9,4.0,129.74621634646874,48.82947,2.24731,92100,48.82875314143647,2.245911467014621,French,,,,,French,2,3.6222222222222222,3354.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,21,26,6,0
K_IVEfjDHORtnAtK40WfvQ,La Padella,2,5.0,112.09127895187966,48.8278,2.24641,92100,48.82875314143647,2.245911467014621,Italian,Pizza,,,,Italian-Pizza,2,3.6222222222222222,3354.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,21,26,6,0
WfiyBqyhbx0TncJPQ2fGMA,L'Escale de Marrakech,14,4.5,15.535119096421155,48.83491,2.40108,75012,48.83481262982544,2.400927788127704,Moroccan,,,,,Moroccan,2,4.011111111111111,5937.0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,25,38,14,0
Xs98LlV2AVKhe1BtEgp6sw,Rapido Pizza,5,4.5,93.25574987551713,48.9067668,2.2684244,92600,48.90717373809284,2.2695400938391685,Pizza,,,,,Pizza,1,3.8666666666666663,984.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,5,3,0,0,0,0,0,32,20,29,0
sCbLigteBXDzIve1ZgBCfQ,L'Etoile du Liban,10,5.0,677.6156871972283,48.9129148,2.2726495,92600,48.90717373809284,2.2695400938391685,Fast Food,Lebanese,,,,Fast Food-Lebanese,2,3.8666666666666663,984.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,5,3,0,0,0,0,0,32,20,29,0
610dNYYEte5uTRTRYfmYZQ,Pancake Square,19,3.5,662.5232213836167,48.9129012,2.2720386,92600,48.90717373809284,2.2695400938391685,Creperies,,,,,Creperies,2,3.8666666666666663,984.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,5,3,0,0,0,0,0,32,20,29,0
sewDhNpZK9KbDxbVhh1bdQ,La table bretonne,20,3.5,223.7137252348578,48.905173,2.269218,92400,48.90717373809284,2.2695400938391685,Creperies,,,,,Creperies,2,3.8666666666666663,984.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,5,3,0,0,0,0,0,32,20,29,0
Ttj9ZU554_mzYN12dMA2Rg,Hall's Beer Tavern,29,3.0,28.63961834907374,48.86162,2.3492,75001,48.86132665908402,2.349419631063938,Beer Bar,,,,,Beer Bar,2,4.094444444444444,3292.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,24,9,0
7yHQXu5CQnbdDb8e2w9RgA,Musée Fragonard,2,5.0,155.6474641666202,48.813657,2.421426,94700,48.81488859822486,2.4224362157779,Museums,,,,,Museums,1,3.7529411764705882,948.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,1,0,0,0,1,0,26,36,22,0
sceAP8ZhJLMzIMhA2iwqOw,Guiseppe,1,5.0,180.85797693342477,48.81441,2.42019,94700,48.81488859822486,2.4224362157779,Pizza,Sicilian,,,,Pizza-Sicilian,1,3.7529411764705882,948.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,1,0,0,0,1,0,26,36,22,0
rOPra9-1Awkd8LAOAE9dHQ,La Bolée d'Arvor,9,3.5,620.9204344048143,48.81909,2.41685,94220,48.81488859822486,2.4224362157779,Creperies,,,,,Creperies,1,3.7529411764705882,948.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,1,0,0,0,1,0,26,36,22,0
X5uoLMttiksu4WZJ0hLHcQ,Au Petit Caporal,3,3.0,168.7954595960509,48.815133,2.420161,94700,48.81488859822486,2.4224362157779,Hotels,French,Tabac,,,Hotels-French-Tabac,2,3.7529411764705882,948.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,3,1,0,0,0,1,0,26,36,22,0
